CUSTOMERID,COUNTRY,IS_UK,IS_GERMANY,IS_FRANCE,IS_EIRE,IS_SPAIN,TOTAL_ORDERS,TOTAL_ITEMS,TOTAL_SPENT,AVG_ITEMS_PER_ORDER,AVG_REVENUE_PER_ORDER,CLV_PER_DAY,RECENCY_DAYS,CUSTOMER_LIFETIME_DAYS,RETURN_RATIO,FIRST_PURCHASE_DATE,LAST_PURCHASE_DATE
17850.0,United Kingdom,true,false,false,false,false,35,1693,5288.63,5.426282,151.103714286,73.453194444,5204,71,0.048077,2010-12-01,2011-02-10
13047.0,United Kingdom,true,false,false,false,false,18,1355,3079.1,6.913265,171.061111111,8.97696793,4933,342,0.122449,2010-12-01,2011-11-08
12583.0,France,false,false,true,false,false,18,5009,7187.34,19.956175,399.296666667,19.320806452,4904,371,0.015936,2010-12-01,2011-12-07
13748.0,United Kingdom,true,false,false,false,false,5,439,948.25,15.678571,189.65,3.39874552,4997,278,0,2010-12-01,2011-09-05
15100.0,United Kingdom,true,false,false,false,false,6,58,635.1,9.666667,105.85,14.434090909,5232,43,0.5,2010-12-01,2011-01-13
15291.0,United Kingdom,true,false,false,false,false,20,2074,4596.51,19.027523,229.8255,13.170515759,4927,348,0.055046,2010-12-01,2011-11-14
14688.0,United Kingdom,true,false,false,false,false,27,3222,5107.38,8.97493,189.162222222,13.916566757,4909,366,0.089136,2010-12-01,2011-12-02
17809.0,United Kingdom,true,false,false,false,false,15,2015,4627.62,31.484375,308.508,12.926312849,4918,357,0.046875,2010-12-01,2011-11-23
15311.0,United Kingdom,true,false,false,false,false,118,37720,59419.34,15.142513,503.553728814,158.875240642,4902,373,0.044962,2010-12-01,2011-12-09
14527.0,United Kingdom,true,false,false,false,false,86,2049,7711.38,2.026706,89.667209302,20.729516129,4904,371,0.038576,2010-12-01,2011-12-07
17420.0,United Kingdom,true,false,false,false,false,3,265,598.83,8.833333,199.61,1.848240741,4952,323,0,2010-12-01,2011-10-20
16029.0,United Kingdom,true,false,false,false,false,76,32148,50992.61,117.328467,670.955394737,151.763720238,4940,335,0.116788,2010-12-01,2011-11-01
16250.0,United Kingdom,true,false,false,false,false,2,208,389.44,8.666667,194.72,3.446371681,5163,112,0,2010-12-01,2011-03-23
12431.0,Australia,false,false,false,false,false,18,2868,6416.39,11.95,356.466111111,18.92740413,4937,338,0.016667,2010-12-01,2011-11-04
17511.0,United Kingdom,true,false,false,false,false,46,63012,88125.38,58.561338,1915.769130435,236.896182796,4904,371,0.105019,2010-12-01,2011-12-07
13747.0,United Kingdom,true,false,false,false,false,1,8,79.6,8,79.6,79.6,5275,0,0,2010-12-01,2010-12-01
17548.0,United Kingdom,true,false,false,false,false,3,-132,-141.48,-7.764706,-47.16,-0.9011464968,5119,156,0.705882,2010-12-01,2011-05-06
13705.0,United Kingdom,true,false,false,false,false,3,363,711.86,12.964286,237.286666667,1.939673025,4909,366,0,2010-12-01,2011-12-02
13408.0,United Kingdom,true,false,false,false,false,81,16119,27487.41,32.173653,339.350740741,73.692788204,4903,372,0.045908,2010-12-01,2011-12-08
13767.0,United Kingdom,true,false,false,false,false,52,7258,16945.71,18.190476,325.879038462,45.552983871,4904,371,0.077694,2010-12-01,2011-12-07
17924.0,United Kingdom,true,false,false,false,false,13,1141,2894.33,30.026316,222.640769231,7.759597855,4903,372,0.184211,2010-12-01,2011-12-08
15862.0,United Kingdom,true,false,false,false,false,4,585,832.88,3.979592,208.22,2.275628415,4910,365,0,2010-12-01,2011-12-01
15513.0,United Kingdom,true,false,false,false,false,22,5545,14520.08,17.659236,660.003636364,42.332594752,4933,342,0.019108,2010-12-01,2011-11-08
16218.0,United Kingdom,true,false,false,false,false,8,2077,3054.87,23.077778,381.85875,8.854695652,4931,344,0.066667,2010-12-01,2011-11-10
14045.0,United Kingdom,true,false,false,false,false,4,535,1659.75,89.166667,414.9375,6.263207547,5011,264,0,2010-12-01,2011-08-22
17908.0,United Kingdom,true,false,false,false,false,1,173,243.28,2.982759,243.28,243.28,5275,0,0,2010-12-01,2010-12-01
12838.0,United Kingdom,true,false,false,false,false,2,359,683.13,2.918699,341.565,2.003313783,4935,340,0,2010-12-01,2011-11-06
13255.0,United Kingdom,true,false,false,false,false,3,174,390.66,12.428571,130.22,1.052991914,4905,370,0.071429,2010-12-01,2011-12-06
18085.0,United Kingdom,true,false,false,false,false,2,265,689.95,9.137931,344.975,15.680681818,5232,43,0,2010-12-01,2011-01-13
13758.0,United Kingdom,true,false,false,false,false,7,1844,3190.55,15.760684,455.792857143,8.789393939,4913,362,0,2010-12-01,2011-11-28
